workload,workload_type,workload_size,description,algorithm,frames,ms/op,ms/op_error,gc.alloc.rate.norm (B/op),gc.alloc.rate.norm_error (B/op)
locality_lg_huge_ws10,locality,lg,"Alta localidade (85% hot) | Grande, universo enorme (100k refs, 2000 pags, WS=10%)",LRU,64,4.272477830549729,0.1053920119821241,5600097.524927886,18.402914033386374
locality_lg_huge_ws10,locality,lg,"Alta localidade (85% hot) | Grande, universo enorme (100k refs, 2000 pags, WS=10%)",LRU,128,4.2972836779904995,0.14290472338682914,5722801.71055708,20.1419588535972
locality_lg_huge_ws10,locality,lg,"Alta localidade (85% hot) | Grande, universo enorme (100k refs, 2000 pags, WS=10%)",Otimo,2,5.06224820373813,0.05528446651842517,5367394.956407549,0.44756450507847106
locality_lg_huge_ws10,locality,lg,"Alta localidade (85% hot) | Grande, universo enorme (100k refs, 2000 pags, WS=10%)",Otimo,4,7.136509741519591,0.9277598399645722,6771305.315467375,2284173.371734649
locality_lg_huge_ws10,locality,lg,"Alta localidade (85% hot) | Grande, universo enorme (100k refs, 2000 pags, WS=10%)",Otimo,8,10.65857077705692,0.11107519083021754,11328233.470877193,0.802974517779398
locality_lg_huge_ws10,locality,lg,"Alta localidade (85% hot) | Grande, universo enorme (100k refs, 2000 pags, WS=10%)",Otimo,16,15.984292632877304,0.29291081548182174,26359326.30949821,1.9994210610133336
locality_lg_huge_ws10,locality,lg,"Alta localidade (85% hot) | Grande, universo enorme (100k refs, 2000 pags, WS=10%)",Otimo,32,26.045333979375847,0.6086056708772734,50609185.966747634,3.92010592012265
locality_lg_huge_ws10,locality,lg,"Alta localidade (85% hot) | Grande, universo enorme (100k refs, 2000 pags, WS=10%)",Otimo,64,52.105340731842105,0.570212010563183,94215908.54736844,9.134942694496292
locality_lg_huge_ws10,locality,lg,"Alta localidade (85% hot) | Grande, universo enorme (100k refs, 2000 pags, WS=10%)",Otimo,128,124.27796233964284,33.28482087982364,204687068.2057143,224.60026248754482
locality_lg_huge_ws10,locality,lg,"Alta localidade (85% hot) | Grande, universo enorme (100k refs, 2000 pags, WS=10%)",Random,2,4.479056041944863,0.026314121807001847,6095462.942778276,0.22719305552720237
locality_lg_huge_ws10,locality,lg,"Alta localidade (85% hot) | Grande, universo enorme (100k refs, 2000 pags, WS=10%)",Random,4,4.65243383108989,0.3900426616495784,6059648.116640166,66.3971520316856
locality_lg_huge_ws10,locality,lg,"Alta localidade (85% hot) | Grande, universo enorme (100k refs, 2000 pags, WS=10%)",Random,8,5.3160439936758275,0.44455535809541863,5991140.696325546,66.77119608346717
locality_lg_huge_ws10,locality,lg,"Alta localidade (85% hot) | Grande, universo enorme (100k refs, 2000 pags, WS=10%)",Random,16,5.165527862115583,0.3017425782850451,5848939.734468883,65.79705740746655
locality_lg_huge_ws10,locality,lg,"Alta localidade (85% hot) | Grande, universo enorme (100k refs, 2000 pags, WS=10%)",Random,32,5.272696460347486,0.15491395975470312,5574156.488312266,1.1467121270884273
