workload,workload_type,workload_size,description,algorithm,frames,page_faults,total_accesses,fault_rate_pct
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",FIFO,128,20,500,4.0000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LRU,2,447,500,89.4000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LRU,4,405,500,81.0000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LRU,8,295,500,59.0000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LRU,16,112,500,22.4000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LRU,32,20,500,4.0000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LRU,64,20,500,4.0000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LRU,128,20,500,4.0000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LFU,2,449,500,89.8000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LFU,4,398,500,79.6000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LFU,8,297,500,59.4000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LFU,16,99,500,19.8000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LFU,32,20,500,4.0000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LFU,64,20,500,4.0000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",LFU,128,20,500,4.0000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Clock,2,448,500,89.6000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Clock,4,404,500,80.8000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Clock,8,299,500,59.8000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Clock,16,122,500,24.4000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Clock,32,20,500,4.0000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Clock,64,20,500,4.0000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Clock,128,20,500,4.0000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Random,2,454,500,90.8000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Random,4,406,500,81.2000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Random,8,297,500,59.4000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Random,16,121,500,24.2000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Random,32,20,500,4.0000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Random,64,20,500,4.0000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Random,128,20,500,4.0000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Otimo,2,382,500,76.4000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Otimo,4,280,500,56.0000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Otimo,8,167,500,33.4000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Otimo,16,50,500,10.0000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Otimo,32,20,500,4.0000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Otimo,64,20,500,4.0000
random_xs_tight,random,xs,"Acesso aleatorio | Minimo (500 refs, 20 pags)",Otimo,128,20,500,4.0000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",FIFO,2,1962,2000,98.1000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",FIFO,4,1913,2000,95.6500
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",FIFO,8,1838,2000,91.9000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",FIFO,16,1657,2000,82.8500
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",FIFO,32,1344,2000,67.2000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",FIFO,64,740,2000,37.0000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",FIFO,128,100,2000,5.0000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LRU,2,1963,2000,98.1500
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LRU,4,1916,2000,95.8000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LRU,8,1838,2000,91.9000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LRU,16,1665,2000,83.2500
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LRU,32,1352,2000,67.6000
random_sm_medium,random,sm,"Acesso aleatorio | Pequeno (2k refs, 100 pags)",LRU,64,729,2000,36.4500
