workload,workload_type,workload_size,workload_spread,workload_extra,algorithm,frames,time_ms_op,time_error,gc_alloc_norm_KB_op,gc_alloc_norm_error_KB
localidade_grande_restrito_frequente90,localidade,grande,restrito,frequente90,FIFO,16,1.185,0.007,957.336,0.025
localidade_grande_restrito_frequente90,localidade,grande,restrito,frequente90,FIFO,32,0.693,0.054,340.552,0.038
localidade_medio_amplo_ws40,localidade,medio,amplo,ws40,FIFO,4,0.419,0.008,845.581,0.0
localidade_medio_amplo_ws40,localidade,medio,amplo,ws40,FIFO,8,0.471,0.013,837.316,0.0
localidade_medio_amplo_ws40,localidade,medio,amplo,ws40,FIFO,16,0.444,0.021,820.019,0.0
localidade_medio_amplo_ws40,localidade,medio,amplo,ws40,FIFO,32,0.444,0.004,783.089,0.0
localidade_medio_enorme_ws10,localidade,medio,enorme,ws10,FIFO,4,0.411,0.004,822.925,0.0
localidade_medio_enorme_ws10,localidade,medio,enorme,ws10,FIFO,8,0.464,0.004,814.402,0.0
localidade_medio_enorme_ws10,localidade,medio,enorme,ws10,FIFO,16,0.443,0.021,794.011,0.0
localidade_medio_enorme_ws10,localidade,medio,enorme,ws10,FIFO,32,0.423,0.031,755.761,0.0
localidade_medio_medio_frequente70,localidade,medio,medio,frequente70,FIFO,4,0.367,0.005,605.627,0.0
localidade_medio_medio_frequente70,localidade,medio,medio,frequente70,FIFO,8,0.365,0.004,578.69,0.0
localidade_medio_medio_frequente70,localidade,medio,medio,frequente70,FIFO,16,0.353,0.021,525.245,0.0
localidade_medio_medio_frequente70,localidade,medio,medio,frequente70,FIFO,32,0.305,0.013,436.58,0.0
localidade_medio_restrito_frequente90,localidade,medio,restrito,frequente90,FIFO,4,0.222,0.03,372.642,0.062
localidade_medio_restrito_frequente90,localidade,medio,restrito,frequente90,FIFO,8,0.189,0.002,232.079,0.0
localidade_medio_restrito_frequente90,localidade,medio,restrito,frequente90,FIFO,16,0.112,0.008,96.993,0.062
localidade_medio_restrito_frequente90,localidade,medio,restrito,frequente90,FIFO,32,0.069,0.002,36.157,0.0
localidade_pequeno_medio_frequente70,localidade,pequeno,medio,frequente70,FIFO,4,0.066,0.0,120.305,0.0
localidade_pequeno_medio_frequente70,localidade,pequeno,medio,frequente70,FIFO,8,0.065,0.001,113.774,0.0
localidade_pequeno_medio_frequente70,localidade,pequeno,medio,frequente70,FIFO,16,0.059,0.001,103.539,0.0
localidade_pequeno_medio_frequente70,localidade,pequeno,medio,frequente70,FIFO,32,0.052,0.0,86.188,0.0
localidade_pequeno_restrito_frequente90,localidade,pequeno,restrito,frequente90,FIFO,4,0.046,0.001,74.196,0.0
localidade_pequeno_restrito_frequente90,localidade,pequeno,restrito,frequente90,FIFO,8,0.037,0.0,47.617,0.0
localidade_pequeno_restrito_frequente90,localidade,pequeno,restrito,frequente90,FIFO,16,0.024,0.0,21.836,0.0
localidade_pequeno_restrito_frequente90,localidade,pequeno,restrito,frequente90,FIFO,32,0.014,0.0,8.867,0.0
sequencial_extragrande_amplo,sequencial,extragrande,amplo,,FIFO,4,31.487,0.233,101187.851,0.003
sequencial_extragrande_amplo,sequencial,extragrande,amplo,,FIFO,8,33.63,1.763,101187.801,0.013
sequencial_extragrande_amplo,sequencial,extragrande,amplo,,FIFO,16,30.835,1.153,101187.799,0.01
sequencial_extragrande_amplo,sequencial,extragrande,amplo,,FIFO,32,30.803,1.251,101187.815,0.01
sequencial_grande_amplo,sequencial,grande,amplo,,FIFO,4,2.908,0.385,10118.871,0.065
sequencial_grande_amplo,sequencial,grande,amplo,,FIFO,8,3.833,1.039,10118.854,0.007
sequencial_grande_amplo,sequencial,grande,amplo,,FIFO,16,3.163,0.029,10118.865,0.0
sequencial_grande_amplo,sequencial,grande,amplo,,FIFO,32,3.164,0.034,10118.881,0.0
sequencial_grande_medio,sequencial,grande,medio,,FIFO,4,2.56,0.021,5468.97,0.0
sequencial_grande_medio,sequencial,grande,medio,,FIFO,8,2.435,0.302,5468.931,0.064
sequencial_grande_medio,sequencial,grande,medio,,FIFO,16,2.682,0.028,5469.112,0.0
sequencial_grande_medio,sequencial,grande,medio,,FIFO,32,2.666,0.22,5469.377,0.001
sequencial_medio_amplo,sequencial,medio,amplo,,FIFO,4,0.306,0.006,1012.018,0.0
sequencial_medio_amplo,sequencial,medio,amplo,,FIFO,8,0.311,0.011,1011.955,0.0
sequencial_medio_amplo,sequencial,medio,amplo,,FIFO,16,0.295,0.01,1011.971,0.0
sequencial_medio_amplo,sequencial,medio,amplo,,FIFO,32,0.302,0.019,1011.986,0.0
sequencial_medio_medio,sequencial,medio,medio,,FIFO,4,0.252,0.001,547.08,0.0
sequencial_medio_medio,sequencial,medio,medio,,FIFO,8,0.265,0.006,547.08,0.0
sequencial_medio_medio,sequencial,medio,medio,,FIFO,16,0.251,0.016,547.22,0.0
sequencial_medio_medio,sequencial,medio,medio,,FIFO,32,0.249,0.003,547.486,0.0
sequencial_minimo_restrito,sequencial,minimo,restrito,,FIFO,4,0.013,0.0,27.547,0.0
sequencial_minimo_restrito,sequencial,minimo,restrito,,FIFO,8,0.014,0.0,27.547,0.0
sequencial_minimo_restrito,sequencial,minimo,restrito,,FIFO,16,0.013,0.0,27.688,0.0
sequencial_minimo_restrito,sequencial,minimo,restrito,,FIFO,32,0.003,0.0,1.438,0.0
sequencial_pequeno_restrito,sequencial,pequeno,restrito,,FIFO,4,0.053,0.001,109.578,0.0
sequencial_pequeno_restrito,sequencial,pequeno,restrito,,FIFO,8,0.056,0.0,109.579,0.0
sequencial_pequeno_restrito,sequencial,pequeno,restrito,,FIFO,16,0.049,0.003,109.719,0.0
sequencial_pequeno_restrito,sequencial,pequeno,restrito,,FIFO,32,0.011,0.0,1.359,0.0
aleatorio_extragrande_amplo,aleatorio,extragrande,amplo,,LFU,4,107.798,3.903,186030.317,0.002
aleatorio_extragrande_amplo,aleatorio,extragrande,amplo,,LFU,8,170.376,3.354,216024.159,0.004
aleatorio_extragrande_amplo,aleatorio,extragrande,amplo,,LFU,16,259.81,2.125,319673.517,0.005
aleatorio_extragrande_amplo,aleatorio,extragrande,amplo,,LFU,32,418.087,10.296,501868.487,0.008
aleatorio_grande_amplo,aleatorio,grande,amplo,,LFU,4,10.323,0.333,20136.077,0.002
aleatorio_grande_amplo,aleatorio,grande,amplo,,LFU,8,15.569,0.118,24679.659,0.001
aleatorio_grande_amplo,aleatorio,grande,amplo,,LFU,16,25.408,0.192,31952.56,0.001
aleatorio_grande_amplo,aleatorio,grande,amplo,,LFU,32,43.222,0.8,50097.239,0.009
aleatorio_grande_enorme,aleatorio,grande,enorme,,LFU,4,9.841,0.138,22023.043,0.001
aleatorio_grande_enorme,aleatorio,grande,enorme,,LFU,8,16.788,0.135,28208.347,0.001
aleatorio_grande_enorme,aleatorio,grande,enorme,,LFU,16,26.281,0.549,38984.129,0.003
aleatorio_grande_enorme,aleatorio,grande,enorme,,LFU,32,46.588,1.962,63308.026,0.02
aleatorio_grande_medio,aleatorio,grande,medio,,LFU,4,9.333,0.437,8379.352,0.003
aleatorio_grande_medio,aleatorio,grande,medio,,LFU,8,12.07,0.134,8186.761,0.001
aleatorio_grande_medio,aleatorio,grande,medio,,LFU,16,21.252,0.245,7803.455,0.003
aleatorio_grande_medio,aleatorio,grande,medio,,LFU,32,27.442,0.233,7020.917,0.001
aleatorio_medio_amplo,aleatorio,medio,amplo,,LFU,4,1.151,0.038,1993.461,0.0
aleatorio_medio_amplo,aleatorio,medio,amplo,,LFU,8,1.679,0.023,2439.785,0.0
aleatorio_medio_amplo,aleatorio,medio,amplo,,LFU,16,2.754,0.035,3320.753,0.0
aleatorio_medio_amplo,aleatorio,medio,amplo,,LFU,32,4.667,0.073,4942.172,0.001
aleatorio_medio_enorme,aleatorio,medio,enorme,,LFU,4,1.236,0.018,2193.86,0.0
aleatorio_medio_enorme,aleatorio,medio,enorme,,LFU,8,1.964,0.03,2807.06,0.0
aleatorio_medio_enorme,aleatorio,medio,enorme,,LFU,16,3.03,0.051,3887.614,0.0
aleatorio_medio_enorme,aleatorio,medio,enorme,,LFU,32,5.385,0.041,6279.849,0.0
aleatorio_medio_medio,aleatorio,medio,medio,,LFU,4,0.921,0.106,832.002,0.03
aleatorio_medio_medio,aleatorio,medio,medio,,LFU,8,1.333,0.014,805.4,0.0
aleatorio_medio_medio,aleatorio,medio,medio,,LFU,16,2.09,0.022,754.561,0.0
aleatorio_medio_medio,aleatorio,medio,medio,,LFU,32,2.903,0.22,654.91,0.002
aleatorio_medio_restrito,aleatorio,medio,restrito,,LFU,4,0.81,0.012,747.888,0.0
aleatorio_medio_restrito,aleatorio,medio,restrito,,LFU,8,0.985,0.02,642.202,0.0
aleatorio_medio_restrito,aleatorio,medio,restrito,,LFU,16,0.641,0.014,442.106,0.0
aleatorio_medio_restrito,aleatorio,medio,restrito,,LFU,32,0.256,0.004,349.783,0.0
aleatorio_minimo_medio,aleatorio,minimo,medio,,LFU,4,0.044,0.0,38.797,0.0
aleatorio_minimo_medio,aleatorio,minimo,medio,,LFU,8,0.066,0.001,37.61,0.0
aleatorio_minimo_medio,aleatorio,minimo,medio,,LFU,16,0.103,0.002,35.704,0.0
aleatorio_minimo_medio,aleatorio,minimo,medio,,LFU,32,0.151,0.009,31.985,0.0
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,LFU,4,0.04,0.006,35.654,5.293
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,LFU,8,0.046,0.002,28.235,0.0
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,LFU,16,0.028,0.0,16.516,0.0
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,LFU,32,0.013,0.001,10.563,0.0
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,LFU,4,0.262,0.004,342.689,0.0
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,LFU,8,0.421,0.005,451.862,0.0
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,LFU,16,0.734,0.014,629.599,0.0
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,LFU,32,1.133,0.011,974.133,0.0
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,LFU,4,0.171,0.002,163.704,0.0
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,LFU,8,0.263,0.001,158.767,0.0
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,LFU,16,0.401,0.007,149.987,0.0
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,LFU,32,0.58,0.037,131.52,0.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,LFU,4,0.183,0.035,169.689,39.916
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,LFU,8,0.184,0.003,120.329,0.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,LFU,16,0.142,0.005,72.134,0.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,LFU,32,0.056,0.003,45.719,0.0
fases_extragrande_amplo_f8,fases,extragrande,amplo,f8,LFU,4,112.283,9.375,153798.058,0.06
fases_extragrande_amplo_f8,fases,extragrande,amplo,f8,LFU,8,154.839,10.873,153412.514,0.005
fases_extragrande_amplo_f8,fases,extragrande,amplo,f8,LFU,16,226.532,2.899,152644.556,0.005
fases_extragrande_amplo_f8,fases,extragrande,amplo,f8,LFU,32,378.009,9.234,151101.44,0.007
fases_grande_amplo_f8,fases,grande,amplo,f8,LFU,4,9.479,0.342,15368.665,0.002
fases_grande_amplo_f8,fases,grande,amplo,f8,LFU,8,14.718,1.328,15323.001,0.04
fases_grande_amplo_f8,fases,grande,amplo,f8,LFU,16,20.253,1.184,15231.799,0.008
fases_grande_amplo_f8,fases,grande,amplo,f8,LFU,32,41.91,0.998,15050.276,0.009
fases_grande_enorme_f8,fases,grande,enorme,f8,LFU,4,9.967,0.073,20423.012,0.001
fases_grande_enorme_f8,fases,grande,enorme,f8,LFU,8,14.071,0.127,25043.79,0.001
fases_grande_enorme_f8,fases,grande,enorme,f8,LFU,16,26.693,0.276,34231.006,0.001
fases_grande_enorme_f8,fases,grande,enorme,f8,LFU,32,41.376,0.718,47799.852,0.009
fases_grande_medio_f4,fases,grande,medio,f4,LFU,4,13.022,0.337,14759.4,0.002
fases_grande_medio_f4,fases,grande,medio,f4,LFU,8,17.948,0.221,14599.401,0.002
fases_grande_medio_f4,fases,grande,medio,f4,LFU,16,21.771,0.528,11439.345,0.034
fases_grande_medio_f4,fases,grande,medio,f4,LFU,32,33.784,2.944,11031.344,0.05
fases_medio_amplo_f8,fases,medio,amplo,f8,LFU,4,0.998,0.014,1533.831,0.031
fases_medio_amplo_f8,fases,medio,amplo,f8,LFU,8,1.414,0.03,1528.814,0.0
fases_medio_amplo_f8,fases,medio,amplo,f8,LFU,16,2.1,0.108,1519.245,0.032
fases_medio_amplo_f8,fases,medio,amplo,f8,LFU,32,3.78,0.036,1500.619,0.0
fases_medio_enorme_f4,fases,medio,enorme,f4,LFU,4,1.102,0.009,1891.843,0.0
fases_medio_enorme_f4,fases,medio,enorme,f4,LFU,8,1.637,0.035,2359.745,0.0
fases_medio_enorme_f4,fases,medio,enorme,f4,LFU,16,2.65,0.025,3425.721,0.0
fases_medio_enorme_f4,fases,medio,enorme,f4,LFU,32,4.58,0.081,5690.234,0.0
fases_medio_medio_f4,fases,medio,medio,f4,LFU,4,1.024,0.106,1179.425,0.03
fases_medio_medio_f4,fases,medio,medio,f4,LFU,8,1.767,0.036,1462.074,0.0
fases_medio_medio_f4,fases,medio,medio,f4,LFU,16,2.209,0.018,1143.734,0.0
fases_medio_medio_f4,fases,medio,medio,f4,LFU,32,3.725,0.065,1097.838,0.0
fases_medio_restrito_f2,fases,medio,restrito,f2,LFU,4,0.86,0.019,798.58,0.031
fases_medio_restrito_f2,fases,medio,restrito,f2,LFU,8,1.198,0.01,752.375,0.0
fases_medio_restrito_f2,fases,medio,restrito,f2,LFU,16,1.648,0.022,663.585,0.031
fases_medio_restrito_f2,fases,medio,restrito,f2,LFU,32,1.766,0.019,495.309,0.0
fases_pequeno_medio_f4,fases,pequeno,medio,f4,LFU,4,0.187,0.005,233.501,0.0
fases_pequeno_medio_f4,fases,pequeno,medio,f4,LFU,8,0.293,0.005,230.439,0.0
fases_pequeno_medio_f4,fases,pequeno,medio,f4,LFU,16,0.412,0.004,226.159,0.0
fases_pequeno_medio_f4,fases,pequeno,medio,f4,LFU,32,0.737,0.01,217.38,0.0
fases_pequeno_restrito_f2,fases,pequeno,restrito,f2,LFU,4,0.169,0.002,156.267,0.0
fases_pequeno_restrito_f2,fases,pequeno,restrito,f2,LFU,8,0.226,0.002,146.83,0.0
fases_pequeno_restrito_f2,fases,pequeno,restrito,f2,LFU,16,0.336,0.015,126.737,0.0
fases_pequeno_restrito_f2,fases,pequeno,restrito,f2,LFU,32,0.311,0.015,91.33,0.0
localidade_grande_amplo_ws40,localidade,grande,amplo,ws40,LFU,4,11.442,0.116,17658.87,0.032
localidade_grande_amplo_ws40,localidade,grande,amplo,ws40,LFU,8,15.263,0.316,17502.61,0.002
localidade_grande_amplo_ws40,localidade,grande,amplo,ws40,LFU,16,25.701,0.23,21534.89,0.004
localidade_grande_amplo_ws40,localidade,grande,amplo,ws40,LFU,32,39.181,0.73,28801.009,0.005
localidade_grande_enorme_ws10,localidade,grande,enorme,ws10,LFU,4,11.242,0.573,17359.021,0.004
localidade_grande_enorme_ws10,localidade,grande,enorme,ws10,LFU,8,14.863,0.275,18683.202,0.002
localidade_grande_enorme_ws10,localidade,grande,enorme,ws10,LFU,16,25.289,0.212,21181.95,0.0
localidade_grande_enorme_ws10,localidade,grande,enorme,ws10,LFU,32,36.431,0.301,28195.444,0.001
localidade_grande_medio_frequente70,localidade,grande,medio,frequente70,LFU,4,13.332,0.188,12457.371,0.002
localidade_grande_medio_frequente70,localidade,grande,medio,frequente70,LFU,8,16.702,0.382,11905.549,0.003
localidade_grande_medio_frequente70,localidade,grande,medio,frequente70,LFU,16,18.339,0.108,8537.201,0.0
localidade_grande_medio_frequente70,localidade,grande,medio,frequente70,LFU,32,20.964,0.213,7222.289,0.002
localidade_grande_restrito_frequente90,localidade,grande,restrito,frequente90,LFU,4,7.139,0.198,6833.478,0.001
localidade_grande_restrito_frequente90,localidade,grande,restrito,frequente90,LFU,8,6.182,0.056,5204.237,0.001
localidade_grande_restrito_frequente90,localidade,grande,restrito,frequente90,LFU,16,4.187,0.032,4267.474,0.0
localidade_grande_restrito_frequente90,localidade,grande,restrito,frequente90,LFU,32,4.318,0.041,4049.818,0.0
localidade_medio_amplo_ws40,localidade,medio,amplo,ws40,LFU,4,1.107,0.03,1458.179,0.0
localidade_medio_amplo_ws40,localidade,medio,amplo,ws40,LFU,8,1.531,0.015,1599.565,0.0
localidade_medio_amplo_ws40,localidade,medio,amplo,ws40,LFU,16,2.539,0.017,1874.767,0.0
localidade_medio_amplo_ws40,localidade,medio,amplo,ws40,LFU,32,4.052,0.027,3005.887,0.0
localidade_medio_enorme_ws10,localidade,medio,enorme,ws10,LFU,4,1.13,0.044,1430.535,0.031
localidade_medio_enorme_ws10,localidade,medio,enorme,ws10,LFU,8,1.636,0.043,1568.331,0.0
localidade_medio_enorme_ws10,localidade,medio,enorme,ws10,LFU,16,2.505,0.065,1831.997,0.031
localidade_medio_enorme_ws10,localidade,medio,enorme,ws10,LFU,32,3.986,0.047,2417.089,0.0
localidade_medio_medio_frequente70,localidade,medio,medio,frequente70,LFU,4,0.99,0.036,951.983,0.0
localidade_medio_medio_frequente70,localidade,medio,medio,frequente70,LFU,8,1.312,0.025,911.439,0.0
localidade_medio_medio_frequente70,localidade,medio,medio,frequente70,LFU,16,1.952,0.031,832.373,0.0
localidade_medio_medio_frequente70,localidade,medio,medio,frequente70,LFU,32,1.848,0.027,675.317,0.0
localidade_medio_restrito_frequente90,localidade,medio,restrito,frequente90,LFU,4,0.726,0.006,675.95,0.0
localidade_medio_restrito_frequente90,localidade,medio,restrito,frequente90,LFU,8,0.632,0.007,504.918,0.0
localidade_medio_restrito_frequente90,localidade,medio,restrito,frequente90,LFU,16,0.433,0.004,406.604,0.0
localidade_medio_restrito_frequente90,localidade,medio,restrito,frequente90,LFU,32,0.448,0.024,382.546,0.031
localidade_pequeno_medio_frequente70,localidade,pequeno,medio,frequente70,LFU,4,0.191,0.003,187.228,0.0
localidade_pequeno_medio_frequente70,localidade,pequeno,medio,frequente70,LFU,8,0.265,0.002,180.705,0.0
localidade_pequeno_medio_frequente70,localidade,pequeno,medio,frequente70,LFU,16,0.381,0.012,165.299,0.0
localidade_pequeno_medio_frequente70,localidade,pequeno,medio,frequente70,LFU,32,0.448,0.013,135.003,0.0
localidade_pequeno_restrito_frequente90,localidade,pequeno,restrito,frequente90,LFU,4,0.146,0.003,128.649,0.0
localidade_pequeno_restrito_frequente90,localidade,pequeno,restrito,frequente90,LFU,8,0.131,0.002,89.852,0.0
localidade_pequeno_restrito_frequente90,localidade,pequeno,restrito,frequente90,LFU,16,0.088,0.001,64.744,0.004
localidade_pequeno_restrito_frequente90,localidade,pequeno,restrito,frequente90,LFU,32,0.082,0.005,60.154,0.016
sequencial_extragrande_amplo,sequencial,extragrande,amplo,,LFU,4,89.586,2.006,190560.126,0.039
sequencial_extragrande_amplo,sequencial,extragrande,amplo,,LFU,8,137.828,2.224,237059.863,0.004
sequencial_extragrande_amplo,sequencial,extragrande,amplo,,LFU,16,245.758,5.912,330058.872,0.164
sequencial_extragrande_amplo,sequencial,extragrande,amplo,,LFU,32,437.915,20.433,516053.646,0.008
sequencial_grande_amplo,sequencial,grande,amplo,,LFU,4,8.991,0.068,19053.357,0.001
sequencial_grande_amplo,sequencial,grande,amplo,,LFU,8,14.037,0.086,23702.86,0.001
sequencial_grande_amplo,sequencial,grande,amplo,,LFU,16,24.205,0.208,33001.396,0.002
sequencial_grande_amplo,sequencial,grande,amplo,,LFU,32,44.226,0.534,51595.435,0.001
sequencial_grande_medio,sequencial,grande,medio,,LFU,4,8.893,1.718,10153.556,2490.002
sequencial_grande_medio,sequencial,grande,medio,,LFU,8,12.907,0.662,8591.165,0.005
sequencial_grande_medio,sequencial,grande,medio,,LFU,16,23.262,0.344,8591.514,0.003
sequencial_grande_medio,sequencial,grande,medio,,LFU,32,40.366,1.372,8592.156,0.008
sequencial_medio_amplo,sequencial,medio,amplo,,LFU,4,0.92,0.034,1902.678,0.0
sequencial_medio_amplo,sequencial,medio,amplo,,LFU,8,1.38,0.045,2367.15,0.0
sequencial_medio_amplo,sequencial,medio,amplo,,LFU,16,2.421,0.019,3295.626,0.0
sequencial_medio_amplo,sequencial,medio,amplo,,LFU,32,4.323,0.048,5149.545,0.0
sequencial_medio_medio,sequencial,medio,medio,,LFU,4,0.788,0.044,856.708,0.0
sequencial_medio_medio,sequencial,medio,medio,,LFU,8,1.254,0.019,856.712,0.0
sequencial_medio_medio,sequencial,medio,medio,,LFU,16,2.236,0.067,857.0,0.0
sequencial_medio_medio,sequencial,medio,medio,,LFU,32,3.953,0.029,857.542,0.0
sequencial_minimo_restrito,sequencial,minimo,restrito,,LFU,4,0.037,0.0,40.297,0.0
sequencial_minimo_restrito,sequencial,minimo,restrito,,LFU,8,0.061,0.001,40.297,0.0
sequencial_minimo_restrito,sequencial,minimo,restrito,,LFU,16,0.107,0.001,40.579,0.0
sequencial_minimo_restrito,sequencial,minimo,restrito,,LFU,32,0.013,0.001,10.563,0.0
sequencial_pequeno_restrito,sequencial,pequeno,restrito,,LFU,4,0.141,0.007,169.204,0.0
sequencial_pequeno_restrito,sequencial,pequeno,restrito,,LFU,8,0.246,0.009,169.205,0.0
sequencial_pequeno_restrito,sequencial,pequeno,restrito,,LFU,16,0.437,0.003,169.487,0.0
sequencial_pequeno_restrito,sequencial,pequeno,restrito,,LFU,32,0.054,0.006,45.719,0.0
aleatorio_extragrande_amplo,aleatorio,extragrande,amplo,,LRU,4,39.46,0.651,62379.089,0.006
aleatorio_extragrande_amplo,aleatorio,extragrande,amplo,,LRU,8,44.902,0.47,62474.622,0.001
aleatorio_extragrande_amplo,aleatorio,extragrande,amplo,,LRU,16,43.9,0.5,62660.59,0.006
aleatorio_extragrande_amplo,aleatorio,extragrande,amplo,,LRU,32,44.538,2.7,63034.294,0.021
aleatorio_grande_amplo,aleatorio,grande,amplo,,LRU,4,4.175,0.101,6242.345,0.018
aleatorio_grande_amplo,aleatorio,grande,amplo,,LRU,8,4.521,0.292,6252.218,0.002
aleatorio_grande_amplo,aleatorio,grande,amplo,,LRU,16,4.886,0.108,6271.697,0.001
aleatorio_grande_amplo,aleatorio,grande,amplo,,LRU,32,4.744,0.398,6308.833,0.021
aleatorio_grande_enorme,aleatorio,grande,enorme,,LRU,4,3.991,0.059,6833.66,0.0
aleatorio_grande_enorme,aleatorio,grande,enorme,,LRU,8,4.379,0.086,6836.315,0.018
aleatorio_grande_enorme,aleatorio,grande,enorme,,LRU,16,4.642,0.052,6842.024,0.0
aleatorio_grande_enorme,aleatorio,grande,enorme,,LRU,32,4.29,0.069,6854.67,0.0
aleatorio_grande_medio,aleatorio,grande,medio,,LRU,4,3.527,0.066,3906.477,0.0
aleatorio_grande_medio,aleatorio,grande,medio,,LRU,8,4.225,0.189,3906.482,0.001
aleatorio_grande_medio,aleatorio,grande,medio,,LRU,16,4.22,0.094,3906.622,0.001
aleatorio_grande_medio,aleatorio,grande,medio,,LRU,32,3.832,0.067,3906.885,0.001
aleatorio_medio_amplo,aleatorio,medio,amplo,,LRU,4,0.405,0.007,623.159,0.0
aleatorio_medio_amplo,aleatorio,medio,amplo,,LRU,8,0.466,0.02,623.948,0.0
aleatorio_medio_amplo,aleatorio,medio,amplo,,LRU,16,0.455,0.014,625.769,0.0
aleatorio_medio_amplo,aleatorio,medio,amplo,,LRU,32,0.457,0.015,629.425,0.0
aleatorio_medio_enorme,aleatorio,medio,enorme,,LRU,4,0.361,0.003,683.94,0.0
aleatorio_medio_enorme,aleatorio,medio,enorme,,LRU,8,0.48,0.004,684.136,0.0
aleatorio_medio_enorme,aleatorio,medio,enorme,,LRU,16,0.447,0.045,684.819,0.018
aleatorio_medio_enorme,aleatorio,medio,enorme,,LRU,32,0.447,0.007,686.46,0.019
aleatorio_medio_medio,aleatorio,medio,medio,,LRU,4,0.346,0.013,390.819,0.019
aleatorio_medio_medio,aleatorio,medio,medio,,LRU,8,0.401,0.02,390.819,0.019
aleatorio_medio_medio,aleatorio,medio,medio,,LRU,16,0.386,0.006,390.971,0.0
aleatorio_medio_medio,aleatorio,medio,medio,,LRU,32,0.383,0.016,391.237,0.0
aleatorio_medio_restrito,aleatorio,medio,restrito,,LRU,4,0.336,0.002,390.791,0.0
aleatorio_medio_restrito,aleatorio,medio,restrito,,LRU,8,0.364,0.006,390.811,0.031
aleatorio_medio_restrito,aleatorio,medio,restrito,,LRU,16,0.335,0.011,390.959,0.019
aleatorio_medio_restrito,aleatorio,medio,restrito,,LRU,32,0.271,0.019,390.947,0.0
aleatorio_minimo_medio,aleatorio,minimo,medio,,LRU,4,0.018,0.001,19.734,0.0
aleatorio_minimo_medio,aleatorio,minimo,medio,,LRU,8,0.021,0.001,19.735,0.0
aleatorio_minimo_medio,aleatorio,minimo,medio,,LRU,16,0.021,0.003,19.875,0.0
aleatorio_minimo_medio,aleatorio,minimo,medio,,LRU,32,0.019,0.001,20.141,0.0
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,LRU,4,0.016,0.0,19.734,0.0
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,LRU,8,0.017,0.0,19.734,0.0
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,LRU,16,0.015,0.0,19.875,0.0
aleatorio_minimo_restrito,aleatorio,minimo,restrito,,LRU,32,0.014,0.0,19.852,0.0
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,LRU,4,0.081,0.006,124.501,0.0
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,LRU,8,0.096,0.003,124.704,0.0
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,LRU,16,0.093,0.01,125.192,0.019
aleatorio_pequeno_amplo,aleatorio,pequeno,amplo,,LRU,32,0.088,0.005,126.141,0.0
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,LRU,4,0.074,0.011,78.329,0.0
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,LRU,8,0.082,0.004,78.31,0.015
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,LRU,16,0.079,0.002,78.452,0.014
aleatorio_pequeno_medio,aleatorio,pequeno,medio,,LRU,32,0.078,0.0,78.735,0.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,LRU,4,0.068,0.001,78.329,0.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,LRU,8,0.078,0.004,78.329,0.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,LRU,16,0.06,0.0,78.469,0.0
aleatorio_pequeno_restrito,aleatorio,pequeno,restrito,,LRU,32,0.051,0.006,78.446,0.0
fases_extragrande_amplo_f8,fases,extragrande,amplo,f8,LRU,4,39.3,0.421,62995.76,0.001
fases_extragrande_amplo_f8,fases,extragrande,amplo,f8,LRU,8,42.901,1.522,63741.085,0.01
fases_extragrande_amplo_f8,fases,extragrande,amplo,f8,LRU,16,43.064,0.628,65239.158,0.006
fases_extragrande_amplo_f8,fases,extragrande,amplo,f8,LRU,32,38.722,3.993,68230.709,0.023
fases_grande_amplo_f8,fases,grande,amplo,f8,LRU,4,3.741,0.026,6301.994,0.0
fases_grande_amplo_f8,fases,grande,amplo,f8,LRU,8,4.354,0.172,6375.424,0.018
fases_grande_amplo_f8,fases,grande,amplo,f8,LRU,16,4.186,0.028,6524.294,0.0
