workload,workload_type,workload_size,workload_spread,workload_extra,algorithm,frames,time_ms_op,time_error,gc_alloc_norm_KB_op,gc_alloc_norm_error_KB
fases_extragrande_amplo_f8,fases,extragrande,amplo,f8,Clock,16,39.512,0.929,54949.615,0.007
fases_extragrande_amplo_f8,fases,extragrande,amplo,f8,Clock,32,27.3,0.398,43898.846,0.003
fases_grande_amplo_f8,fases,grande,amplo,f8,Clock,4,3.362,0.028,6317.57,0.0
fases_grande_amplo_f8,fases,grande,amplo,f8,Clock,8,4.107,0.046,6046.465,0.0
fases_grande_amplo_f8,fases,grande,amplo,f8,Clock,16,3.779,0.025,5494.377,0.0
fases_grande_amplo_f8,fases,grande,amplo,f8,Clock,32,2.702,0.022,4397.667,0.0
fases_grande_enorme_f8,fases,grande,enorme,f8,Clock,4,3.384,0.02,7440.609,0.0
fases_grande_enorme_f8,fases,grande,enorme,f8,Clock,8,4.562,0.051,7367.757,0.0
fases_grande_enorme_f8,fases,grande,enorme,f8,Clock,16,4.418,0.027,7219.674,0.031
fases_grande_enorme_f8,fases,grande,enorme,f8,Clock,32,4.373,0.051,6930.748,0.0
fases_grande_medio_f4,fases,grande,medio,f4,Clock,4,3.651,0.054,4516.095,0.0
fases_grande_medio_f4,fases,grande,medio,f4,Clock,8,4.161,0.038,4214.528,0.0
fases_grande_medio_f4,fases,grande,medio,f4,Clock,16,3.928,0.174,3622.202,0.03
fases_grande_medio_f4,fases,grande,medio,f4,Clock,32,2.4,0.034,2447.915,0.0
fases_medio_amplo_f8,fases,medio,amplo,f8,Clock,4,0.295,0.002,632.314,0.0
fases_medio_amplo_f8,fases,medio,amplo,f8,Clock,8,0.392,0.003,604.518,0.0
fases_medio_amplo_f8,fases,medio,amplo,f8,Clock,16,0.349,0.003,549.245,0.0
fases_medio_amplo_f8,fases,medio,amplo,f8,Clock,32,0.26,0.002,441.275,0.0
fases_medio_enorme_f4,fases,medio,enorme,f4,Clock,4,0.323,0.003,749.205,0.0
fases_medio_enorme_f4,fases,medio,enorme,f4,Clock,8,0.418,0.008,744.534,0.0
fases_medio_enorme_f4,fases,medio,enorme,f4,Clock,16,0.439,0.009,737.776,0.0
fases_medio_enorme_f4,fases,medio,enorme,f4,Clock,32,0.416,0.006,723.276,0.0
fases_medio_medio_f4,fases,medio,medio,f4,Clock,4,0.305,0.003,455.705,0.0
fases_medio_medio_f4,fases,medio,medio,f4,Clock,8,0.388,0.007,426.049,0.0
fases_medio_medio_f4,fases,medio,medio,f4,Clock,16,0.353,0.003,366.995,0.0
fases_medio_medio_f4,fases,medio,medio,f4,Clock,32,0.236,0.006,251.416,0.0
fases_medio_restrito_f2,fases,medio,restrito,f2,Clock,4,0.253,0.002,260.314,0.0
fases_medio_restrito_f2,fases,medio,restrito,f2,Clock,8,0.299,0.003,209.893,0.0
fases_medio_restrito_f2,fases,medio,restrito,f2,Clock,16,0.207,0.005,111.04,0.0
fases_medio_restrito_f2,fases,medio,restrito,f2,Clock,32,0.111,0.023,2.302,0.031
fases_pequeno_medio_f4,fases,pequeno,medio,f4,Clock,4,0.059,0.001,91.141,0.0
fases_pequeno_medio_f4,fases,pequeno,medio,f4,Clock,8,0.071,0.002,85.407,0.0
fases_pequeno_medio_f4,fases,pequeno,medio,f4,Clock,16,0.059,0.001,73.258,0.0
fases_pequeno_medio_f4,fases,pequeno,medio,f4,Clock,32,0.044,0.001,51.149,0.0
fases_pequeno_restrito_f2,fases,pequeno,restrito,f2,Clock,4,0.047,0.001,52.563,0.0
fases_pequeno_restrito_f2,fases,pequeno,restrito,f2,Clock,8,0.051,0.001,42.703,0.0
fases_pequeno_restrito_f2,fases,pequeno,restrito,f2,Clock,16,0.039,0.001,23.289,0.0
fases_pequeno_restrito_f2,fases,pequeno,restrito,f2,Clock,32,0.021,0.003,2.32,0.0
localidade_grande_amplo_ws40,localidade,grande,amplo,ws40,Clock,4,3.961,0.034,5367.98,0.0
localidade_grande_amplo_ws40,localidade,grande,amplo,ws40,Clock,8,5.063,0.041,5318.815,0.0
localidade_grande_amplo_ws40,localidade,grande,amplo,ws40,Clock,16,5.248,0.042,5221.535,0.0
localidade_grande_amplo_ws40,localidade,grande,amplo,ws40,Clock,32,5.214,0.413,5023.805,0.028
localidade_grande_enorme_ws10,localidade,grande,enorme,ws10,Clock,4,3.951,0.014,5222.058,0.0
localidade_grande_enorme_ws10,localidade,grande,enorme,ws10,Clock,8,5.037,0.04,5169.878,0.0
localidade_grande_enorme_ws10,localidade,grande,enorme,ws10,Clock,16,5.433,0.331,5066.9,0.029
localidade_grande_enorme_ws10,localidade,grande,enorme,ws10,Clock,32,4.977,0.117,4857.006,0.03
localidade_grande_medio_frequente70,localidade,grande,medio,frequente70,Clock,4,3.625,0.403,3601.915,0.003
localidade_grande_medio_frequente70,localidade,grande,medio,frequente70,Clock,8,4.302,0.099,3440.826,0.001
localidade_grande_medio_frequente70,localidade,grande,medio,frequente70,Clock,16,4.215,0.043,3145.833,0.0
localidade_grande_medio_frequente70,localidade,grande,medio,frequente70,Clock,32,3.78,0.034,2600.26,0.0
localidade_grande_restrito_frequente90,localidade,grande,restrito,frequente90,Clock,4,2.558,0.095,2135.791,0.001
